Date,City,Country,Latitude,Longitude,MaxTemp,Humidity,Cloudiness,Wind Speed
1547962677,Bangangte,CM,5.14,10.52,60.33,84,8,2.59
1547960400,Barrhead,CA,54.12,-114.4,8.6,84,90,4.7
1547962679,Taldan,RU,53.69,124.82,3.36,44,0,4.61
1547962681,Wattegama,LK,7.35,80.68,79.86,61,44,6.96
1547962682,Fengrun,CN,39.83,118.12,36.66,25,0,12.55
1547962683,Zhanakorgan,KZ,43.91,67.25,36.66,100,88,3.71
1547961300,Beatrice,US,40.27,-96.75,10.4,82,1,3.15
1547960400,Nisshin,JP,35.17,136.96,44.6,93,75,4.7
1547960400,Tanabe,JP,33.73,135.39,55.4,66,75,14.99
1547962688,Prainha,BR,-1.8,-53.48,76.08,97,64,2.59
1547962689,Nabire,ID,-3.36,135.5,81.66,71,44,2.15
1547962690,Lazaro Cardenas,MX,28.39,-105.62,31.8,61,0,2.82
1547960400,San Antonio,CL,-33.58,-71.61,59.0,87,90,2.24
1547962694,Wewak,PG,-3.55,143.63,78.87,95,92,1.92
1547962695,Elat,CM,2.91,11.16,68.52,98,76,2.59
1547961360,Saint-Louis,CH,47.59,7.56,26.6,100,75,3.36
1547962697,Camocim,BR,-2.9,-40.84,72.84,96,56,4.27
